,Date,Match Details,club,Player Name,MinsPlayed,TotalDistance(m),TopSpeed(km/h),AvgSpeed(km/h),HighIntensityActivity,Sprints(> 25.20 km/h)Dist (m),HSR(19.81-25.20 km/h)Dist (m),Distance (m)14.41-19.80km/h,7.21-14.40km/h,0.73-7.20km/h,< 0.72km/h,PDF Name,Young Player,Sprints(> 25.20 km/h) No,HSR(19.81-25.20 km/h) No,Key,season,lastName,firstName,id,valeu,wages,contractexpires,Nationality,CA,PA
16,2020-12-12,Wisła Kraków 1 - 2 Legia Warszawa,Wisła Kraków,Lis M.,95:15,"5425,66","24,67","3,42",5,"0,00","59,96","193,47","984,28","4145,32","42,63",12551_filter_live_1.pdf,False,0,5,2020-12-12 Wisła Kraków 1 - 2 Legia Warszawa,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
17,2021-03-05,Wisła Kraków 0 - 0 Górnik Zabrze,Wisła Kraków,Lis M.,93:23,"5801,72","26,17","3,73",6,"7,99","50,08","286,95","1498,23","3946,54","11,93",12625_filter_live_1.pdf,False,1,5,2021-03-05 Wisła Kraków 0 - 0 Górnik Zabrze,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
18,2021-04-17,Wisła Kraków 0 - 1 Warta Poznań,Wisła Kraków,Lis M.,97:45,"5470,94","25,66","3,36",7,"0,00","87,13","239,73","839,96","4263,76","40,36",12676_filter_live_1.pdf,False,0,7,2021-04-17 Wisła Kraków 0 - 1 Warta Poznań,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
19,2021-03-13,Lechia Gdańsk 2 - 0 Wisła Kraków,Wisła Kraków,Lis M.,96:40,"5844,19","25,30","3,63",6,"0,00","67,00","246,64","1377,91","4132,02","20,62",12635_filter_live_1.pdf,False,0,6,2021-03-13 Lechia Gdańsk 2 - 0 Wisła Kraków,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
20,2020-07-03,ŁKS Łódź 1 - 2 Wisła Kraków,Wisła Kraków,Lis M.,98:05,"4873,97","21,73","2,98",0,"0,00","0,00","215,90","727,64","3874,89","55,54",12417_filter_live_1.pdf,False,0,0,2020-07-03 ŁKS Łódź 1 - 2 Wisła Kraków,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
21,2021-02-07,Wisła Kraków 2 - 0 Jagiellonia Białystok,Wisła Kraków,Lis M.,93:12,"5735,29","24,50","3,69",7,"0,00","85,98","339,70","1238,68","4045,98","24,95",12598_filter_live_1.pdf,False,0,7,2021-02-07 Wisła Kraków 2 - 0 Jagiellonia Białystok,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
22,2021-04-05,Podbeskidzie Bielsko - Biała 2 - 0 Wisła Kraków,Wisła Kraków,Lis M.,95:20,"6026,65","27,71","3,79",21,"38,70","212,55","404,04","1193,64","4109,14","68,58",12653_filter_live_1.pdf,False,3,18,2021-04-05 Podbeskidzie Bielsko - Biała 2 - 0 Wisła Kraków,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
23,2020-08-24,Jagiellonia Białystok 1 - 1 Wisła Kraków,Wisła Kraków,Lis M.,98:15,"4796,87","25,34","2,93",3,"0,00","42,13","132,83","678,89","3788,78","154,24",12456_filter_live_1.pdf,False,0,3,2020-08-24 Jagiellonia Białystok 1 - 1 Wisła Kraków,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
24,2021-04-21,KGHM Zagłębie Lubin 4 - 1 Wisła Kraków,Wisła Kraków,Lis M.,96:16,"5247,69","29,29","3,27",4,"23,51","20,73","208,91","661,84","4282,80","49,90",12685_filter_live_1.pdf,False,1,3,2021-04-21 KGHM Zagłębie Lubin 4 - 1 Wisła Kraków,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
25,2021-02-28,Wisła Płock 1 - 3 Wisła Kraków,Wisła Kraków,Lis M.,99:14,"6026,42","23,42","3,64",5,"0,00","93,00","255,17","1420,11","4227,23","30,91",12623_filter_live_1.pdf,False,0,5,2021-02-28 Wisła Płock 1 - 3 Wisła Kraków,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
26,2020-12-04,Cracovia 1 - 1 Wisła Kraków,Wisła Kraków,Lis M.,103:28,"5935,52","26,36","3,44",4,"0,00","43,13","297,24","1018,42","4523,08","53,65",12537_filter_live_1.pdf,False,0,4,2020-12-04 Cracovia 1 - 1 Wisła Kraków,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
27,2021-05-08,Wisła Kraków 1 - 2 Lech Poznań,Wisła Kraków,Lis M.,96:01,"5279,37","23,52","3,30",4,"0,00","46,92","243,43","1011,45","3915,45","62,12",12710_filter_live_1.pdf,False,0,4,2021-05-08 Wisła Kraków 1 - 2 Lech Poznań,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
28,2021-04-09,Wisła Kraków 1 - 2 Raków Częstochowa,Wisła Kraków,Lis M.,94:16,"5756,49","26,92","3,66",9,"22,10","95,70","284,69","1150,53","4154,72","48,75",12657_filter_live_1.pdf,False,1,8,2021-04-09 Wisła Kraków 1 - 2 Raków Częstochowa,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
29,2020-07-14,KGHM Zagłębie Lubin 3 - 1 Wisła Kraków,Wisła Kraków,Lis M.,94:21,"5123,74","24,70","3,26",3,"0,00","41,42","255,00","1121,25","3680,05","26,02",12434_filter_live_1.pdf,False,0,3,2020-07-14 KGHM Zagłębie Lubin 3 - 1 Wisła Kraków,2020/2021,Lis,M.,96075388,€ 23.000,€ 500,2021-06-30,Poland,52,62
30,2021-04-25,PGE FKS Stal Mielec 1 - 0 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,100:00,"10769,12","32,22","6,46",82,"387,38","925,66","1844,05","2880,03","4618,74","113,26",12694_filter_live_1.pdf,False,18,64,2021-04-25 PGE FKS Stal Mielec 1 - 0 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
31,2020-11-09,Pogoń Szczecin 1 - 1 Podbeskidzie Bielsko - Biała,Pogoń Szczecin,Kucharczyk M.,71:01,"7868,83","29,76","6,65",57,"257,36","625,09","1443,05","2349,38","3093,54","100,41",12526_filter_live_1.pdf,False,15,42,2020-11-09 Pogoń Szczecin 1 - 1 Podbeskidzie Bielsko - Biała,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
32,2020-11-27,Górnik Zabrze 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,98:40,"10949,11","32,41","6,66",84,"385,23","911,44","1872,36","3464,51","3729,69","585,88",12529_filter_live_1.pdf,False,18,66,2020-11-27 Górnik Zabrze 2 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
33,2021-02-06,Pogoń Szczecin 1 - 0 Cracovia,Pogoń Szczecin,Kucharczyk M.,32:01,"3620,91","30,51","6,79",29,"75,61","393,09","659,59","1369,73","998,23","124,66",12595_filter_live_1.pdf,False,4,25,2021-02-06 Pogoń Szczecin 1 - 0 Cracovia,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
34,2020-10-30,Pogoń Szczecin 3 - 0 Jagiellonia Białystok,Pogoń Szczecin,Kucharczyk M.,80:29,"8858,83","29,00","6,60",61,"130,09","616,65","1663,36","2917,09","3380,60","151,04",12492_filter_live_1.pdf,False,10,51,2020-10-30 Pogoń Szczecin 3 - 0 Jagiellonia Białystok,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
35,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Pogoń Szczecin,Kucharczyk M.,69:27,"7326,49","31,97","6,33",51,"232,94","615,85","1188,14","2326,79","2915,69","47,08",12468_filter_live_1.pdf,False,8,43,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
36,2021-02-28,Śląsk Wrocław 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,97:10,"11309,57","31,31","6,98",86,"255,19","949,51","2357,69","3457,99","4193,25","95,94",12622_filter_live_1.pdf,False,14,72,2021-02-28 Śląsk Wrocław 2 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
37,2021-02-19,Wisła Kraków 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,96:34,"11168,25","30,64","6,94",90,"300,55","1166,25","2126,80","3454,65","3949,67","170,33",12609_filter_live_1.pdf,False,15,75,2021-02-19 Wisła Kraków 2 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
38,2021-04-10,Pogoń Szczecin 2 - 0 Wisła Płock,Pogoń Szczecin,Kucharczyk M.,76:42,"9423,59","32,71","7,37",65,"227,95","794,25","1702,32","3112,48","3507,06","79,53",12658_filter_live_1.pdf,False,11,54,2021-04-10 Pogoń Szczecin 2 - 0 Wisła Płock,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
39,2021-05-07,KGHM Zagłębie Lubin 1 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,94:14,"11282,13","31,93","7,18",86,"338,61","1012,22","1998,66","3714,71","4128,23","89,70",12705_filter_live_1.pdf,False,19,67,2021-05-07 KGHM Zagłębie Lubin 1 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
40,2020-08-30,Piast Gliwice 0 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,93:28,"9479,68","30,50","6,09",57,"153,31","600,78","1414,43","2900,89","4332,93","77,34",12462_filter_live_1.pdf,False,12,45,2020-08-30 Piast Gliwice 0 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
41,2020-12-07,Pogoń Szczecin 2 - 0 PGE FKS Stal Mielec,Pogoń Szczecin,Kucharczyk M.,23:33,"3227,43","30,02","8,22",22,"77,22","393,96","618,79","1140,81","929,46","67,19",12541_filter_live_1.pdf,False,2,20,2020-12-07 Pogoń Szczecin 2 - 0 PGE FKS Stal Mielec,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
42,2021-03-07,Pogoń Szczecin 0 - 1 Lech Poznań,Pogoń Szczecin,Kucharczyk M.,94:24,"11259,42","31,69","7,16",87,"268,69","1050,75","2000,46","3741,08","4107,54","90,90",12630_filter_live_1.pdf,False,14,73,2021-03-07 Pogoń Szczecin 0 - 1 Lech Poznań,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
43,2021-03-12,Jagiellonia Białystok 0 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,99:30,"11046,92","30,83","6,66",79,"331,71","803,19","2061,21","3247,74","4519,57","83,50",12633_filter_live_1.pdf,False,17,62,2021-03-12 Jagiellonia Białystok 0 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
44,2021-03-19,Pogoń Szczecin 1 - 0 Lechia Gdańsk,Pogoń Szczecin,Kucharczyk M.,83:57,"10559,00","31,36","7,55",80,"265,07","1020,44","2197,04","3619,29","3388,71","68,45",12641_filter_live_1.pdf,False,14,66,2021-03-19 Pogoń Szczecin 1 - 0 Lechia Gdańsk,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
45,2021-01-29,Raków Częstochowa 0 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,83:08,"9841,28","31,80","7,10",76,"193,71","858,78","2109,56","3217,43","3339,85","121,95",12565_filter_live_1.pdf,False,13,63,2021-01-29 Raków Częstochowa 0 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
46,2020-12-19,Pogoń Szczecin 1 - 0 KGHM Zagłębie Lubin,Pogoń Szczecin,Kucharczyk M.,41:56,"4733,04","29,03","6,77",23,"44,78","314,04","968,87","1623,22","1749,43","32,70",12558_filter_live_1.pdf,False,3,20,2020-12-19 Pogoń Szczecin 1 - 0 KGHM Zagłębie Lubin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
47,2021-04-16,Podbeskidzie Bielsko - Biała 0 - 2 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,81:51,"8340,30","32,25","6,11",55,"265,45","615,52","1514,92","2304,62","2758,75","881,04",12672_filter_live_1.pdf,False,14,41,2021-04-16 Podbeskidzie Bielsko - Biała 0 - 2 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
48,2021-04-20,Pogoń Szczecin 1 - 0 Górnik Zabrze,Pogoń Szczecin,Kucharczyk M.,93:10,"10737,30","32,01","6,91",77,"276,40","807,73","2072,72","2935,53","4617,80","27,12",12680_filter_live_1.pdf,False,16,61,2021-04-20 Pogoń Szczecin 1 - 0 Górnik Zabrze,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
49,2020-12-16,Lech Poznań 0 - 4 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,101:10,"11116,03","32,88","6,59",67,"140,64","815,97","1879,23","4335,59","3862,34","82,26",12487_filter_live_1.pdf,False,7,60,2020-12-16 Lech Poznań 0 - 4 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
50,2020-12-12,Warta Poznań 1 - 2 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,33:44,"3997,52","31,98","7,11",42,"96,72","607,39","699,69","1194,84","1395,83","3,05",12552_filter_live_1.pdf,False,4,38,2020-12-12 Warta Poznań 1 - 2 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
51,2020-10-19,Lechia Gdańsk 0 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,98:19,"11392,83","29,53","6,95",73,"141,66","853,64","2272,84","3788,48","4280,79","55,42",12500_filter_live_1.pdf,False,8,65,2020-10-19 Lechia Gdańsk 0 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
52,2021-02-13,Pogoń Szczecin 0 - 0 Piast Gliwice,Pogoń Szczecin,Kucharczyk M.,96:23,"9908,90","29,44","6,17",68,"218,17","864,56","1703,37","3404,30","3542,90","175,60",12602_filter_live_1.pdf,False,12,56,2021-02-13 Pogoń Szczecin 0 - 0 Piast Gliwice,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
53,2021-05-01,Pogoń Szczecin 1 - 1 Warta Poznań,Pogoń Szczecin,Kucharczyk M.,96:21,"10626,95","32,21","6,62",84,"359,40","861,75","1858,70","2910,33","4566,65","70,12",12703_filter_live_1.pdf,False,20,64,2021-05-01 Pogoń Szczecin 1 - 1 Warta Poznań,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
54,2020-10-24,Pogoń Szczecin 0 - 0 Legia Warszawa,Pogoń Szczecin,Kucharczyk M.,69:57,"8169,89","30,36","7,01",57,"199,69","662,02","1439,63","2752,04","3073,65","42,86",12508_filter_live_1.pdf,False,10,47,2020-10-24 Pogoń Szczecin 0 - 0 Legia Warszawa,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
55,2021-04-03,Legia Warszawa 4 - 2 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,95:19,"11120,11","30,52","7,00",82,"185,05","927,33","2376,93","3724,66","3840,87","65,27",12650_filter_live_1.pdf,False,10,72,2021-04-03 Legia Warszawa 4 - 2 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
56,2020-09-19,Pogoń Szczecin 1 - 0 Śląsk Wrocław,Pogoń Szczecin,Kucharczyk M.,95:09,"11106,26","31,12","7,00",80,"471,10","816,82","1903,25","3567,44","4242,91","104,74",12478_filter_live_1.pdf,False,20,60,2020-09-19 Pogoń Szczecin 1 - 0 Śląsk Wrocław,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
57,2020-08-22,Cracovia 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,71:26,"6838,86","30,14","5,74",36,"187,42","364,98","917,40","1945,73","3336,37","86,96",12450_filter_live_1.pdf,False,8,28,2020-08-22 Cracovia 2 - 1 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
58,2020-12-02,Wisła Płock 0 - 0 Pogoń Szczecin,Pogoń Szczecin,Kucharczyk M.,66:08,"7662,20","29,76","6,95",62,"210,44","742,14","1391,14","2491,39","2799,12","27,97",12519_filter_live_1.pdf,False,11,51,2020-12-02 Wisła Płock 0 - 0 Pogoń Szczecin,2020/2021,Kucharczyk,M.,96003382,€ 145.000,€ 2.900,2023-06-30,Poland,56,60
59,2021-04-25,PGE FKS Stal Mielec 1 - 0 Pogoń Szczecin,Pogoń Szczecin,Drygas K.,100:00,"11441,24","31,80","6,87",59,"150,31","882,79","2194,85","4035,59","3942,50","235,20",12694_filter_live_1.pdf,False,8,51,2021-04-25 PGE FKS Stal Mielec 1 - 0 Pogoń Szczecin,2020/2021,Drygas,K.,96010344,€ 105.000,€ 2.600,2021-06-30,Poland,57,59
60,2020-07-12,Śląsk Wrocław 2 - 2 Pogoń Szczecin,Pogoń Szczecin,Drygas K.,98:43,"10821,35","28,99","6,58",62,"151,94","836,59","1733,77","3554,96","4429,38","114,71",12430_filter_live_1.pdf,False,11,51,2020-07-12 Śląsk Wrocław 2 - 2 Pogoń Szczecin,2020/2021,Drygas,K.,96010344,€ 105.000,€ 2.600,2021-06-30,Poland,57,59
61,2020-11-09,Pogoń Szczecin 1 - 1 Podbeskidzie Bielsko - Biała,Pogoń Szczecin,Drygas K.,25:12,"2739,18","27,99","6,52",16,"13,00","297,55","487,20","971,12","949,04","21,27",12526_filter_live_1.pdf,False,1,15,2020-11-09 Pogoń Szczecin 1 - 1 Podbeskidzie Bielsko - Biała,2020/2021,Drygas,K.,96010344,€ 105.000,€ 2.600,2021-06-30,Poland,57,59
62,2020-11-27,Górnik Zabrze 2 - 1 Pogoń Szczecin,Pogoń Szczecin,Drygas K.,70:37,"7835,58","30,80","6,66",45,"136,59","607,14","1431,76","2834,95","2569,51","255,63",12529_filter_live_1.pdf,False,6,39,2020-11-27 Górnik Zabrze 2 - 1 Pogoń Szczecin,2020/2021,Drygas,K.,96010344,€ 105.000,€ 2.600,2021-06-30,Poland,57,59
63,2021-02-06,Pogoń Szczecin 1 - 0 Cracovia,Pogoń Szczecin,Drygas K.,91:10,"10770,21","30,11","7,09",57,"92,30","963,51","2078,41","4054,25","3484,37","97,37",12595_filter_live_1.pdf,False,4,53,2021-02-06 Pogoń Szczecin 1 - 0 Cracovia,2020/2021,Drygas,K.,96010344,€ 105.000,€ 2.600,2021-06-30,Poland,57,59
64,2020-10-30,Pogoń Szczecin 3 - 0 Jagiellonia Białystok,Pogoń Szczecin,Drygas K.,23:46,"2668,60","31,16","6,74",16,"70,27","170,76","504,61","993,78","846,85","82,33",12492_filter_live_1.pdf,False,2,14,2020-10-30 Pogoń Szczecin 3 - 0 Jagiellonia Białystok,2020/2021,Drygas,K.,96010344,€ 105.000,€ 2.600,2021-06-30,Poland,57,59
65,2020-07-19,Legia Warszawa 1 - 2 Pogoń Szczecin,Pogoń Szczecin,Drygas K.,66:07,"7611,57","29,55","6,91",35,"111,71","380,34","1213,49","2763,54","3084,63","57,86",12445_filter_live_1.pdf,False,7,28,2020-07-19 Legia Warszawa 1 - 2 Pogoń Szczecin,2020/2021,Drygas,K.,96010344,€ 105.000,€ 2.600,2021-06-30,Poland,57,59
66,2020-09-13,Pogoń Szczecin 2 - 2 Wisła Kraków,Pogoń Szczecin,Drygas K.,66:08,"7428,50","32,11","6,74",41,"113,28","537,76","1365,02","2517,83","2590,70","303,91",12468_filter_live_1.pdf,False,3,38,2020-09-13 Pogoń Szczecin 2 - 2 Wisła Kraków,2020/2021,Drygas,K.,96010344,€ 105.000,€ 2.600,2021-06-30,Poland,57,59
